'Page Number','Arabic Word','English Word','URL to Arabic Audio','Verse'
'521','وَٱلسَّمَآءِ','By the heaven','https://audio.qurancdn.com/wbw/051_007_001.mp3','وَٱلسَّمَآءِ ذَاتِ ٱلْحُبُكِ'
'521','ذَاتِ','full of','https://audio.qurancdn.com/wbw/051_007_002.mp3','وَٱلسَّمَآءِ ذَاتِ ٱلْحُبُكِ'
'521','ٱلْحُبُكِ','pathways','https://audio.qurancdn.com/wbw/051_007_003.mp3','وَٱلسَّمَآءِ ذَاتِ ٱلْحُبُكِ'
'521','إِنَّكُمْ',"'Indeed, you'",'https://audio.qurancdn.com/wbw/051_008_001.mp3','إِنَّكُمْ لَفِى قَوْلٍ مُّخْتَلِفٍ'
'521','لَفِى','(are) surely in','https://audio.qurancdn.com/wbw/051_008_002.mp3','إِنَّكُمْ لَفِى قَوْلٍ مُّخْتَلِفٍ'
'521','قَوْلٍۢ','a speech','https://audio.qurancdn.com/wbw/051_008_003.mp3','إِنَّكُمْ لَفِى قَوْلٍ مُّخْتَلِفٍ'
'521','مُّخْتَلِفٍۢ','differing','https://audio.qurancdn.com/wbw/051_008_004.mp3','إِنَّكُمْ لَفِى قَوْلٍ مُّخْتَلِفٍ'
'521','يُؤْفَكُ','Deluded away','https://audio.qurancdn.com/wbw/051_009_001.mp3','يُؤْفَكُ عَنْهُ مَنْ أُفِكَ'
'521','عَنْهُ','from it','https://audio.qurancdn.com/wbw/051_009_002.mp3','يُؤْفَكُ عَنْهُ مَنْ أُفِكَ'
'521','مَنْ','(is he) who','https://audio.qurancdn.com/wbw/051_009_003.mp3','يُؤْفَكُ عَنْهُ مَنْ أُفِكَ'
'521','أُفِكَ','is deluded','https://audio.qurancdn.com/wbw/051_009_004.mp3','يُؤْفَكُ عَنْهُ مَنْ أُفِكَ'
'521','قُتِلَ','Cursed be','https://audio.qurancdn.com/wbw/051_010_001.mp3','قُتِلَ ٱلْخَرَّٰصُونَ'
'521','ٱلْخَرَّٰصُونَ','the liars','https://audio.qurancdn.com/wbw/051_010_002.mp3','قُتِلَ ٱلْخَرَّٰصُونَ'
'521','ٱلَّذِينَ','Those who','https://audio.qurancdn.com/wbw/051_011_001.mp3','ٱلَّذِينَ هُمْ فِى غَمْرَةٍ سَاهُونَ'
'521','هُمْ','[they]','https://audio.qurancdn.com/wbw/051_011_002.mp3','ٱلَّذِينَ هُمْ فِى غَمْرَةٍ سَاهُونَ'
'521','فِى','(are) in','https://audio.qurancdn.com/wbw/051_011_003.mp3','ٱلَّذِينَ هُمْ فِى غَمْرَةٍ سَاهُونَ'
'521','غَمْرَةٍۢ','flood','https://audio.qurancdn.com/wbw/051_011_004.mp3','ٱلَّذِينَ هُمْ فِى غَمْرَةٍ سَاهُونَ'
'521','سَاهُونَ','(of) heedlessness','https://audio.qurancdn.com/wbw/051_011_005.mp3','ٱلَّذِينَ هُمْ فِى غَمْرَةٍ سَاهُونَ'
'521','يَسْـَٔلُونَ','They ask','https://audio.qurancdn.com/wbw/051_012_001.mp3','يَسْـَٔلُونَ أَيَّانَ يَوْمُ ٱلدِّينِ'
'521','أَيَّانَ','When','https://audio.qurancdn.com/wbw/051_012_002.mp3','يَسْـَٔلُونَ أَيَّانَ يَوْمُ ٱلدِّينِ'
'521','يَوْمُ','(is the) Day','https://audio.qurancdn.com/wbw/051_012_003.mp3','يَسْـَٔلُونَ أَيَّانَ يَوْمُ ٱلدِّينِ'
'521','ٱلدِّينِ','(of) Judgment','https://audio.qurancdn.com/wbw/051_012_004.mp3','يَسْـَٔلُونَ أَيَّانَ يَوْمُ ٱلدِّينِ'
